年龄,收入,孩子数量,家庭人口数,在现住址时间,在现工作时间,住房种类,国籍,信用卡类型,是否违约
46,0,0,2,15,33,租住,德国,支票账户,0
34,3200,4,6,144,54,自有,土耳其,无信用卡,1
31,3300,3,5,108,120,租住,土耳其,无信用卡,1
39,1500,0,1,192,6,租住,德国,无信用卡,1
32,0,3,5,48,108,租住,德国,支票账户,0
23,0,0,1,192,60,租住,德国,支票账户,1
42,1900,0,2,144,30,租住,德国,无信用卡,0
35,0,2,4,54,168,租住,德国,支票账户,0
26,1700,1,3,288,33,租住,德国,支票账户,1
24,3400,1,2,18,30,租住,德国,无信用卡,1
20,0,0,1,240,9,租住,德国,支票账户,0
44,0,1,2,108,42,租住,德国,支票账户,0
23,1900,0,1,36,12,租住,德国,无信用卡,1
44,0,1,3,66,66,租住,德国,支票账户,1
36,3500,6,8,30,12,租住,德国,无信用卡,0
25,3400,1,3,312,15,缺失,德国,支票账户,1
54,1700,0,1,9,108,缺失,德国,无信用卡,0
29,2300,0,1,21,144,租住,德国,无信用卡,1
39,3000,2,4,108,30,租住,德国,无信用卡,1
38,0,2,4,60,48,租住,德国,支票账户,0
35,0,0,2,72,18,租住,德国,支票账户,0
20,2700,0,1,240,9,租住,德国,无信用卡,1
24,0,0,1,84,24,租住,德国,支票账户,0
24,1900,0,2,30,27,自有,德国,无信用卡,0
46,1500,0,1,144,30,租住,德国,无信用卡,1
39,0,5,7,108,54,租住,德国,支票账户,1
35,0,4,5,60,12,租住,德国,支票账户,0
30,3000,0,2,42,168,租住,德国,无信用卡,1
30,0,2,4,96,21,租住,德国,支票账户,0
25,0,1,3,30,30,租住,德国,支票账户,0
22,1800,0,1,264,66,租住,德国,无信用卡,1
55,3300,1,3,48,48,租住,德国,无信用卡,1
22,1600,1,2,96,48,租住,德国,无信用卡,1
38,3400,2,3,168,27,租住,德国,无信用卡,1
30,0,1,3,54,168,租住,德国,支票账户,0
24,2600,0,1,288,18,租住,德国,无信用卡,0
66,0,0,1,264,66,租住,德国,支票账户,0
51,0,0,2,216,60,租住,德国,支票账户,0
46,0,0,2,240,240,租住,德国,支票账户,0
38,2100,0,2,999,30,租住,德国,无信用卡,1
38,0,1,3,84,30,租住,德国,欧洲Master卡,0
24,2000,0,1,6,42,租住,德国,无信用卡,1
41,0,2,3,18,33,租住,德国,支票账户,1
41,0,2,4,120,240,租住,德国,欧洲Master卡,0
28,1500,1,3,3,6,租住,德国,无信用卡,0
36,0,2,3,21,216,租住,德国,支票账户,0
33,0,1,3,999,36,租住,德国,支票账户,0
21,2100,0,1,264,9,租住,德国,无信用卡,1
20,2600,0,1,264,6,租住,德国,无信用卡,0
19,1000,0,1,240,9,租住,德国,无信用卡,1
26,0,2,4,72,24,租住,德国,支票账户,1
57,0,0,2,999,15,缺失,德国,支票账户,0
37,0,2,4,192,60,租住,德国,支票账户,0
36,2200,1,3,96,6,租住,德国,无信用卡,0
22,0,0,1,48,9,租住,德国,支票账户,1
56,1900,1,3,264,60,租住,德国,无信用卡,0
47,3300,1,3,288,288,租住,德国,无信用卡,0
41,0,2,4,12,30,租住,德国,支票账户,1
40,0,1,2,120,45,租住,德国,支票账户,0
32,0,2,4,66,216,租住,德国,支票账户,0
30,1500,2,4,18,192,租住,德国,无信用卡,0
56,0,0,2,288,6,缺失,德国,支票账户,0
46,0,0,2,6,96,租住,德国,支票账户,0
43,2500,1,2,42,144,租住,德国,无信用卡,1
29,1800,1,3,54,54,租住,德国,无信用卡,1
36,1800,1,2,30,15,租住,德国,无信用卡,0
31,1800,0,2,48,24,租住,德国,无信用卡,0
28,2600,0,1,96,36,缺失,德国,无信用卡,1
27,0,0,1,240,96,租住,德国,支票账户,0
44,2000,0,2,108,6,缺失,德国,无信用卡,1
29,1700,1,2,96,168,租住,德国,无信用卡,1
54,0,0,2,108,108,缺失,德国,支票账户,0
29,2400,2,3,30,144,租住,德国,无信用卡,1
65,0,0,1,192,60,租住,德国,支票账户,0
28,2300,0,1,240,9,租住,德国,无信用卡,0
34,2100,1,2,168,42,租住,德国,无信用卡,1
24,1700,0,1,288,96,租住,德国,无信用卡,1
40,0,3,5,18,54,租住,德国,支票账户,0
40,1500,2,4,48,12,租住,德国,无信用卡,0
28,0,0,2,42,18,租住,德国,支票账户,0
25,0,0,1,240,60,租住,德国,支票账户,1
35,0,1,3,36,168,租住,德国,支票账户,0
43,0,2,4,144,9,租住,德国,支票账户,0
40,0,1,2,240,60,租住,德国,支票账户,0
46,2300,0,1,60,336,租住,德国,支票账户,0
70,1000,0,1,288,144,租住,德国,无信用卡,0
41,0,1,3,108,21,租住,德国,支票账户,0
35,0,2,4,168,15,租住,德国,支票账户,1
32,0,0,2,12,144,租住,德国,支票账户,0
52,3000,1,3,192,240,自有,德国,无信用卡,0
37,2200,2,4,96,96,缺失,德国,支票账户,0
34,2800,3,5,168,30,缺失,德国,支票账户,0
31,1000,0,2,9,12,租住,德国,无信用卡,1
22,0,0,1,264,15,租住,德国,支票账户,0
63,1600,0,1,264,27,租住,德国,无信用卡,0
40,10000,2,4,48,3,租住,德国,支票账户,0
35,2700,2,4,999,54,缺失,德国,支票账户,0
29,0,3,5,60,30,缺失,德国,支票账户,0
49,0,2,4,144,336,租住,德国,支票账户,0
37,1500,2,3,96,168,租住,德国,无信用卡,1
32,3000,1,3,48,96,租住,德国,无信用卡,0
26,2200,1,2,42,108,缺失,德国,无信用卡,1
55,1500,0,1,264,15,租住,德国,无信用卡,0
42,2900,1,3,192,108,租住,德国,无信用卡,0
40,2600,2,4,192,192,租住,德国,无信用卡,0
20,1500,1,2,168,54,租住,德国,无信用卡,1
31,1800,0,1,48,60,租住,德国,无信用卡,1
24,0,0,1,168,9,租住,德国,支票账户,1
57,0,0,1,168,48,租住,德国,欧洲Master卡,0
31,0,2,4,9,36,租住,德国,支票账户,0
34,0,2,4,84,45,租住,德国,支票账户,0
50,0,0,2,999,336,租住,德国,支票账户,0
68,0,0,2,168,108,租住,德国,支票账户,1
22,0,0,1,264,15,租住,德国,支票账户,1
58,0,0,2,240,36,租住,德国,支票账户,0
33,0,2,4,192,24,缺失,德国,支票账户,0
26,0,0,1,312,36,租住,德国,支票账户,1
51,0,0,2,66,66,缺失,德国,支票账户,0
39,2000,3,4,120,33,租住,德国,无信用卡,0
57,1500,0,1,168,18,租住,德国,无信用卡,1
21,2700,0,1,168,9,租住,德国,无信用卡,1
43,0,1,3,216,36,租住,德国,支票账户,0
35,4000,2,3,36,45,租住,德国,无信用卡,0
42,0,4,6,144,60,租住,德国,支票账户,1
58,1500,0,2,144,24,租住,德国,无信用卡,1
44,2900,2,4,96,108,租住,德国,无信用卡,0
23,2100,0,1,288,21,租住,德国,无信用卡,1
66,0,0,1,48,72,租住,德国,欧洲Master卡,1
64,0,0,1,264,42,租住,德国,支票账户,0
22,2000,0,1,48,24,租住,德国,无信用卡,1
46,0,0,2,168,21,租住,德国,支票账户,0
31,0,1,3,3,192,租住,德国,支票账户,0
28,0,2,4,9,9,租住,德国,支票账户,1
41,2900,1,3,144,54,租住,德国,无信用卡,0
30,0,2,4,84,168,租住,德国,支票账户,1
34,0,2,4,144,39,租住,德国,支票账户,0
30,0,0,1,144,15,租住,德国,支票账户,0
29,5000,1,2,36,48,租住,德国,无信用卡,0
26,0,0,1,42,21,租住,德国,支票账户,0
20,1500,0,1,168,12,租住,德国,无信用卡,1
68,0,0,1,144,33,租住,德国,支票账户,1
58,0,0,2,216,48,租住,德国,支票账户,0
45,0,1,3,192,9,租住,德国,支票账户,0
22,1000,0,1,264,33,租住,德国,无信用卡,1
59,1500,0,2,360,12,租住,德国,无信用卡,0
22,1500,0,1,168,15,租住,德国,无信用卡,1
21,1600,0,1,216,15,租住,德国,无信用卡,1
54,0,0,1,999,999,租住,德国,支票账户,0
27,0,1,3,18,30,租住,德国,支票账户,1
35,0,2,4,96,120,租住,德国,支票账户,0
30,2300,0,2,30,144,租住,德国,无信用卡,1
37,2600,1,3,96,84,缺失,德国,支票账户,0
36,0,1,3,192,33,租住,德国,支票账户,1
23,1700,0,1,42,12,租住,德国,无信用卡,1
48,0,6,8,192,30,租住,德国,支票账户,0
33,1700,3,5,12,24,租住,德国,无信用卡,1
47,0,1,3,288,288,租住,德国,支票账户,0
31,0,2,4,36,168,租住,德国,支票账户,0
39,1500,3,4,168,15,缺失,德国,无信用卡,1
34,2100,2,4,168,216,租住,德国,无信用卡,0
49,1500,0,2,96,12,租住,德国,无信用卡,1
37,1800,1,2,999,42,自有,德国,无信用卡,1
38,0,2,3,24,36,租住,德国,支票账户,0
56,1500,0,1,60,36,租住,德国,无信用卡,1
39,0,2,4,3,288,租住,德国,支票账户,1
37,0,2,4,108,3,租住,德国,支票账户,0
33,2700,0,1,84,96,租住,德国,无信用卡,1
21,1000,0,1,264,30,租住,德国,无信用卡,0
64,0,0,1,999,48,租住,德国,支票账户,1
39,0,2,4,48,21,租住,德国,支票账户,0
38,2300,2,4,144,15,缺失,德国,支票账户,0
26,1500,1,2,36,60,租住,德国,无信用卡,1
55,0,0,1,192,12,租住,德国,支票账户,1
49,1700,0,2,288,39,租住,德国,无信用卡,0
37,0,1,3,30,18,租住,德国,支票账户,0
28,2000,1,2,336,12,租住,德国,无信用卡,0
25,2500,1,2,192,48,租住,德国,无信用卡,1
28,0,2,4,108,21,租住,德国,支票账户,0
46,0,0,1,120,36,租住,德国,支票账户,0
46,2000,2,4,240,15,自有,德国,无信用卡,1
50,2300,0,1,72,999,租住,德国,无信用卡,0
35,0,1,3,84,12,租住,德国,支票账户,0
28,0,1,3,54,39,缺失,德国,支票账户,1
53,2100,0,1,144,168,自有,德国,无信用卡,0
22,0,0,1,288,18,租住,德国,支票账户,1
46,0,0,2,120,36,租住,德国,支票账户,0
19,1000,0,1,240,24,缺失,德国,无信用卡,1
38,2000,2,4,144,240,租住,德国,支票账户,1
23,0,0,1,240,6,租住,德国,支票账户,1
25,0,1,3,60,36,缺失,德国,支票账户,0
32,2200,1,3,54,3,租住,德国,无信用卡,0
29,2400,1,3,9,12,租住,德国,无信用卡,1
29,2200,2,4,36,18,租住,德国,无信用卡,1
28,2700,0,1,21,15,租住,德国,无信用卡,1
54,0,0,2,288,999,租住,德国,支票账户,0
30,0,2,4,3,18,租住,德国,支票账户,1
27,1800,0,1,216,18,租住,德国,无信用卡,0
21,1900,0,1,30,39,租住,德国,无信用卡,1
31,0,0,1,999,54,租住,德国,支票账户,1
37,0,0,2,3,72,租住,德国,支票账户,0
32,0,2,4,48,33,租住,德国,支票账户,1
26,0,1,2,30,84,缺失,德国,支票账户,0
42,2500,2,3,42,15,租住,德国,无信用卡,1
22,0,0,1,60,9,租住,德国,支票账户,0
37,0,2,4,6,9,租住,德国,支票账户,0
25,0,0,1,30,84,租住,德国,支票账户,1
66,0,0,2,3,42,租住,德国,支票账户,0
28,0,1,2,9,96,租住,德国,欧洲Master卡,0
25,2000,0,1,36,6,租住,德国,无信用卡,1
56,0,0,2,192,15,租住,德国,支票账户,0
40,1000,1,3,168,33,租住,德国,无信用卡,0
39,0,1,3,192,24,租住,德国,支票账户,1
37,0,2,4,999,192,租住,德国,支票账户,1
64,0,0,1,96,42,租住,德国,支票账户,0
31,0,1,3,72,15,缺失,德国,支票账户,1
48,10000,2,4,168,192,租住,德国,无信用卡,0
28,2500,1,3,3,42,缺失,德国,支票账户,0
60,0,0,2,144,39,租住,德国,支票账户,0
50,0,1,3,192,192,租住,德国,支票账户,1
34,2500,2,4,12,18,租住,德国,无信用卡,0
26,2200,1,2,288,60,租住,德国,无信用卡,0
39,0,0,2,84,84,租住,德国,支票账户,1
47,0,0,2,144,336,租住,德国,支票账户,0
46,2300,1,3,96,9,租住,德国,无信用卡,0
38,3000,2,4,84,96,租住,德国,无信用卡,0
34,0,2,4,144,192,租住,德国,欧洲Master卡,0
66,0,0,2,144,3,租住,德国,支票账户,0
58,0,0,2,72,36,租住,德国,支票账户,0
41,2700,0,1,120,120,租住,德国,无信用卡,1
32,1600,1,2,84,168,租住,德国,无信用卡,1
55,2100,1,2,240,999,租住,德国,无信用卡,0
32,0,1,3,96,33,租住,德国,支票账户,1
22,2600,0,1,264,27,租住,德国,无信用卡,1
66,2400,0,2,168,12,租住,德国,支票账户,0
44,0,2,4,216,42,租住,德国,支票账户,0
41,0,2,3,216,84,租住,德国,支票账户,0
23,0,3,5,288,33,租住,德国,支票账户,1
36,0,0,1,144,27,租住,德国,支票账户,1
35,2500,3,5,192,168,自有,德国,无信用卡,0
20,0,0,1,60,33,租住,德国,支票账户,1
45,0,0,2,312,288,租住,德国,支票账户,0
39,0,0,1,216,288,租住,德国,支票账户,1
33,10000,1,2,96,27,租住,德国,无信用卡,1
28,1500,1,3,42,39,租住,德国,无信用卡,1
34,3100,3,5,168,39,自有,德国,无信用卡,0
23,2000,0,1,24,36,缺失,德国,无信用卡,1
36,2700,1,3,96,192,租住,德国,无信用卡,0
34,0,2,4,168,33,租住,德国,支票账户,1
34,0,2,3,144,33,租住,德国,支票账户,1
31,0,0,1,999,33,租住,德国,支票账户,0
60,0,0,2,168,45,租住,德国,欧洲Master卡,0
41,2100,2,4,108,84,租住,德国,无信用卡,1
41,2900,2,4,36,144,缺失,德国,无信用卡,1
65,0,0,1,360,60,租住,德国,支票账户,0
47,1500,0,1,30,39,租住,德国,无信用卡,1
41,0,1,3,168,36,租住,德国,支票账户,0
33,0,2,4,999,24,租住,德国,支票账户,1
31,2400,0,1,96,30,租住,德国,无信用卡,1
21,1500,0,1,168,9,租住,德国,无信用卡,1
44,0,1,3,288,12,租住,德国,支票账户,0
25,0,0,2,12,36,租住,德国,欧洲Master卡,0
59,0,0,1,120,24,租住,德国,支票账户,0
28,0,1,3,21,36,租住,德国,支票账户,1
18,1000,0,1,216,30,租住,德国,无信用卡,1
46,5000,0,2,999,999,租住,德国,无信用卡,0
23,2000,1,2,18,30,租住,德国,无信用卡,1
49,0,0,1,168,336,缺失,德国,支票账户,0
37,0,2,4,54,21,租住,德国,支票账户,1
20,1000,0,1,240,27,租住,德国,无信用卡,1
25,0,0,1,36,96,租住,德国,支票账户,0
29,0,1,2,36,36,租住,德国,支票账户,0
39,0,3,5,999,9,租住,德国,支票账户,1
28,0,0,2,42,39,租住,德国,支票账户,0
38,0,1,3,24,12,租住,德国,支票账户,0
24,2000,0,1,96,48,租住,德国,无信用卡,0
43,2600,1,3,168,33,租住,德国,无信用卡,1
39,0,2,4,264,240,租住,德国,支票账户,0
39,1700,2,4,60,120,租住,德国,支票账户,0
62,0,0,2,288,33,租住,德国,支票账户,0
56,0,0,2,999,33,租住,德国,支票账户,0
32,0,3,4,54,66,租住,德国,支票账户,1
56,4000,0,2,96,999,租住,德国,无信用卡,0
40,0,1,2,36,15,租住,德国,支票账户,0
24,0,0,2,15,12,租住,德国,支票账户,1
22,0,0,1,264,6,租住,德国,支票账户,1
26,0,1,3,3,120,租住,德国,支票账户,0
42,3000,3,4,96,288,租住,德国,无信用卡,0
30,0,0,2,48,60,租住,德国,欧洲Master卡,1
24,2500,0,1,168,12,租住,德国,无信用卡,1
56,0,0,2,264,36,租住,德国,支票账户,0
46,0,1,3,240,12,租住,德国,支票账户,0
46,0,0,2,168,60,租住,德国,支票账户,0
39,0,0,2,24,48,租住,德国,支票账户,1
36,3000,2,4,108,192,租住,德国,无信用卡,0
44,0,1,3,999,60,租住,德国,支票账户,0
38,0,3,5,96,6,租住,德国,支票账户,0
32,1800,0,1,192,192,租住,德国,无信用卡,1
32,1800,0,1,192,192,租住,德国,无信用卡,1
60,1500,0,1,240,48,租住,德国,无信用卡,0
59,0,0,1,999,33,租住,德国,支票账户,0
24,5000,0,1,48,9,租住,德国,无信用卡,1
49,1000,0,2,96,24,租住,德国,无信用卡,1
51,0,0,2,192,336,租住,德国,支票账户,0
40,1800,0,1,999,21,租住,德国,无信用卡,1
37,3000,2,4,15,33,缺失,德国,无信用卡,1
21,1500,0,1,264,18,租住,德国,无信用卡,0
48,2300,2,4,999,144,自有,德国,无信用卡,1
41,1900,1,2,120,9,租住,德国,无信用卡,1
25,2500,0,2,36,108,租住,德国,支票账户,0
40,2600,0,1,144,288,租住,德国,无信用卡,1
24,0,0,2,15,24,租住,德国,支票账户,1
21,1500,0,1,66,12,租住,德国,无信用卡,1
38,0,2,4,84,72,租住,德国,支票账户,0
32,4000,2,4,96,39,租住,德国,无信用卡,1
22,0,1,2,48,9,租住,德国,支票账户,1
41,1500,0,2,15,120,租住,德国,无信用卡,1
39,0,0,1,21,144,租住,德国,支票账户,0
28,0,0,2,9,48,租住,德国,支票账户,0
63,1500,0,2,999,6,自有,德国,无信用卡,1
34,2500,1,3,24,18,租住,德国,无信用卡,0
36,0,1,2,54,27,租住,德国,支票账户,0
26,0,2,4,3,45,租住,德国,支票账户,1
36,0,3,5,120,144,租住,德国,支票账户,0
60,0,0,2,999,48,租住,德国,支票账户,1
29,0,1,2,21,120,租住,德国,支票账户,1
25,2200,0,1,144,9,租住,德国,无信用卡,0
22,2000,0,1,108,6,租住,德国,无信用卡,1
49,0,2,4,12,15,租住,德国,支票账户,0
46,1600,1,3,144,12,租住,德国,无信用卡,0
23,0,0,1,12,30,缺失,德国,支票账户,1
23,2000,0,1,12,30,租住,德国,支票账户,1
19,1800,0,1,168,48,租住,德国,无信用卡,1
51,0,0,2,30,42,租住,德国,支票账户,0
50,1900,0,2,216,36,租住,德国,无信用卡,0
25,0,1,3,120,12,租住,德国,支票账户,1
57,0,0,2,96,24,租住,德国,支票账户,0
45,0,0,1,192,336,租住,德国,支票账户,0
42,0,1,3,9,30,缺失,德国,支票账户,0
41,2000,1,3,216,288,缺失,德国,无信用卡,1
22,0,0,1,144,36,租住,德国,支票账户,1
43,0,1,3,120,144,租住,德国,支票账户,0
31,0,3,5,66,9,租住,德国,支票账户,0
19,0,0,1,168,30,租住,德国,支票账户,1
24,0,3,4,18,84,租住,德国,支票账户,1
20,1000,0,2,96,30,缺失,德国,无信用卡,1
45,0,0,2,168,39,租住,德国,欧洲Master卡,0
26,2100,1,2,312,120,租住,德国,支票账户,1
25,2300,0,1,216,12,租住,德国,无信用卡,1
23,2000,0,1,30,12,租住,德国,无信用卡,0
31,0,2,4,42,168,租住,德国,支票账户,0
25,2000,0,2,72,45,租住,德国,无信用卡,0
33,2500,0,1,999,15,租住,德国,无信用卡,1
28,0,2,4,48,36,租住,德国,支票账户,1
39,0,2,3,144,21,租住,德国,支票账户,0
51,0,0,2,192,999,租住,德国,支票账户,0
44,0,1,2,192,42,租住,德国,支票账户,1
44,0,1,3,240,192,租住,德国,支票账户,0
33,0,1,3,144,216,租住,德国,支票账户,0
32,0,0,1,999,54,租住,德国,支票账户,0
29,2400,1,2,12,72,租住,德国,无信用卡,0
53,1500,0,1,9,3,租住,土耳其,无信用卡,1
47,1500,1,3,36,12,自有,德国,无信用卡,0
43,0,0,1,240,60,缺失,德国,支票账户,1
39,0,2,4,48,48,租住,德国,支票账户,1
35,0,3,5,18,39,租住,德国,支票账户,0
30,3000,0,1,42,12,租住,德国,无信用卡,1
26,0,0,1,312,33,租住,德国,支票账户,1
39,1900,1,3,36,60,租住,德国,无信用卡,0
28,1700,1,2,36,12,租住,德国,无信用卡,0
60,0,0,2,72,33,缺失,德国,支票账户,0
43,1600,0,2,120,3,租住,德国,无信用卡,1
40,1500,0,1,60,9,租住,德国,无信用卡,1
37,1500,2,3,192,84,缺失,德国,无信用卡,1
35,2400,1,2,42,39,租住,德国,无信用卡,0
33,0,2,4,84,39,租住,德国,支票账户,0
42,2700,2,4,240,288,租住,德国,无信用卡,0
25,2200,1,3,48,9,租住,德国,无信用卡,1
64,0,0,1,48,45,租住,德国,支票账户,0
47,0,0,1,168,216,租住,德国,支票账户,0
37,1500,1,3,96,9,租住,德国,无信用卡,0
23,2300,0,2,6,30,租住,德国,无信用卡,0
67,1500,0,2,288,192,缺失,德国,支票账户,0
63,0,0,1,168,36,租住,德国,支票账户,0
46,2600,0,2,168,336,租住,德国,无信用卡,1
41,0,1,3,66,336,租住,德国,支票账户,0
33,0,8,10,72,9,租住,德国,支票账户,1
30,0,2,4,96,30,租住,德国,支票账户,0
22,0,0,2,36,21,租住,德国,支票账户,1
40,2400,1,3,168,9,缺失,德国,无信用卡,0
32,3300,2,4,42,66,租住,德国,支票账户,0
30,0,2,4,120,27,租住,德国,支票账户,1
32,2100,0,1,42,15,租住,德国,无信用卡,1
22,0,0,1,264,6,租住,德国,支票账户,1
44,2700,4,6,66,288,缺失,德国,无信用卡,1
66,1900,0,2,3,192,租住,德国,无信用卡,0
32,1800,2,4,42,6,自有,德国,无信用卡,1
56,1500,0,1,999,96,租住,德国,无信用卡,0
40,1600,0,1,30,96,租住,德国,无信用卡,0
31,0,3,5,84,108,租住,德国,支票账户,1
30,2200,1,3,30,168,租住,德国,无信用卡,1
28,0,0,1,66,9,缺失,德国,支票账户,0
20,0,0,1,168,36,租住,德国,支票账户,1
51,1500,0,2,192,12,自有,德国,无信用卡,0
38,2300,2,4,216,24,自有,德国,无信用卡,0
29,0,1,2,216,30,缺失,德国,支票账户,0
19,1900,0,1,240,9,租住,德国,无信用卡,1
41,0,2,3,30,216,租住,德国,欧洲Master卡,1
30,0,1,3,72,120,租住,德国,支票账户,0
40,2200,1,2,999,240,租住,德国,无信用卡,1
25,1500,0,1,312,54,租住,德国,无信用卡,1
40,0,1,3,66,3,租住,德国,支票账户,1
29,1700,1,3,60,9,缺失,德国,无信用卡,1
27,0,0,1,42,9,租住,德国,支票账户,0
46,0,1,3,264,336,租住,德国,欧洲Master卡,0
40,0,2,4,48,96,租住,德国,支票账户,1
24,2500,2,4,60,108,租住,德国,无信用卡,1
38,0,2,4,144,48,租住,德国,支票账户,0
42,1800,1,3,54,15,租住,德国,欧洲Master卡,1
41,2400,2,4,144,21,租住,德国,支票账户,0
20,1000,0,1,288,9,租住,德国,无信用卡,1
63,1500,0,2,999,240,租住,德国,无信用卡,1
39,2200,2,4,144,21,租住,德国,支票账户,0
32,0,2,4,96,144,租住,德国,支票账户,0
46,0,1,3,192,288,租住,德国,支票账户,0
41,1500,2,4,42,30,租住,德国,无信用卡,1
34,2300,0,2,3,15,租住,德国,无信用卡,1
39,0,2,3,48,288,租住,德国,支票账户,0
52,0,1,3,999,21,租住,德国,支票账户,0
65,1600,0,1,999,60,自有,德国,无信用卡,0
38,2500,1,3,144,27,租住,德国,无信用卡,0
38,0,2,4,216,48,租住,德国,支票账户,1
26,1900,0,1,264,9,租住,德国,无信用卡,1
70,1500,0,2,192,120,租住,德国,无信用卡,0
30,2700,1,3,48,6,租住,德国,无信用卡,0
19,1000,0,1,108,6,租住,德国,无信用卡,1
18,0,0,1,216,39,租住,德国,支票账户,1
29,2600,1,2,96,48,租住,德国,无信用卡,0
26,0,1,2,30,96,租住,德国,支票账户,1
