年龄,收入,孩子数量,家庭人口数,在现住址时间,在现工作时间,住房种类,国籍,信用卡类型,是否违约
37,0,1,3,144,240,租住,德国,支票账户,0
29,1700,0,1,72,144,租住,德国,无信用卡,1
50,0,1,2,288,999,租住,德国,支票账户,0
21,1500,0,1,264,6,缺失,德国,无信用卡,1
59,0,0,1,999,60,租住,德国,支票账户,0
45,0,0,1,216,336,租住,德国,支票账户,0
44,1900,0,1,264,999,租住,德国,无信用卡,1
34,0,2,4,192,72,租住,德国,支票账户,1
56,0,0,2,42,39,租住,德国,支票账户,1
35,0,2,4,144,12,租住,德国,支票账户,0
47,1500,1,3,144,3,租住,德国,无信用卡,1
19,1900,2,3,120,21,租住,德国,无信用卡,1
55,1800,0,1,144,21,租住,德国,无信用卡,0
46,2500,2,3,192,15,租住,德国,无信用卡,0
40,0,1,3,108,144,租住,德国,支票账户,1
59,0,0,2,54,27,租住,德国,支票账户,0
36,1500,0,1,144,144,租住,德国,无信用卡,1
35,0,2,4,24,144,租住,德国,支票账户,0
28,0,1,3,42,54,缺失,德国,支票账户,0
28,2000,1,3,48,9,租住,德国,无信用卡,1
38,3200,1,3,192,18,自有,德国,支票账户,0
36,0,2,4,144,54,租住,德国,支票账户,0
34,1700,1,2,84,24,自有,德国,无信用卡,0
23,0,0,1,288,3,租住,德国,支票账户,1
55,0,0,2,999,999,缺失,德国,支票账户,0
37,2800,0,1,6,24,租住,德国,无信用卡,1
48,2000,1,3,192,120,租住,德国,无信用卡,0
24,2400,0,1,288,18,租住,德国,无信用卡,1
22,0,0,1,18,66,租住,德国,支票账户,0
36,0,0,2,30,15,租住,德国,支票账户,1
31,0,0,1,48,48,缺失,德国,支票账户,1
30,0,0,1,48,48,租住,德国,支票账户,0
34,0,3,5,84,9,租住,德国,支票账户,0
29,0,0,1,72,15,租住,德国,支票账户,0
26,2000,2,4,42,30,租住,德国,无信用卡,1
28,0,1,3,12,30,租住,德国,支票账户,0
41,0,3,5,192,9,缺失,德国,支票账户,0
39,0,0,2,144,288,租住,德国,支票账户,0
33,2200,0,1,96,192,自有,德国,无信用卡,1
39,0,0,1,108,216,租住,德国,支票账户,1
22,0,0,1,168,84,租住,德国,支票账户,1
28,0,1,3,6,36,租住,德国,支票账户,1
31,3500,2,4,108,168,租住,土耳其,无信用卡,0
27,2500,1,3,60,18,自有,德国,无信用卡,0
45,0,1,3,216,120,租住,德国,欧洲Master卡,0
37,2000,2,4,42,6,租住,德国,无信用卡,0
29,2600,2,4,48,18,租住,德国,无信用卡,1
27,0,1,2,42,120,缺失,德国,支票账户,0
38,1800,2,4,108,168,租住,德国,无信用卡,1
29,0,1,3,48,45,租住,德国,支票账户,0
21,1900,0,1,264,54,租住,德国,无信用卡,0
40,0,2,4,168,3,租住,德国,支票账户,0
38,2000,1,3,66,18,租住,德国,无信用卡,0
47,0,1,3,120,27,租住,德国,支票账户,0
41,0,2,4,36,72,缺失,德国,支票账户,0
24,1500,0,1,84,9,缺失,德国,无信用卡,1
39,5000,1,3,108,54,租住,德国,支票账户,0
37,0,2,4,120,9,租住,德国,支票账户,0
32,1900,3,5,15,15,租住,德国,无信用卡,0
63,3500,0,2,84,33,租住,德国,无信用卡,0
40,0,2,4,0,120,租住,德国,支票账户,0
35,3200,2,4,54,15,缺失,德国,无信用卡,1
56,1600,0,1,108,12,租住,德国,无信用卡,1
41,0,1,3,216,336,租住,德国,支票账户,0
39,2200,2,4,9,30,租住,德国,无信用卡,1
50,0,0,2,216,216,租住,德国,支票账户,0
23,2800,0,1,288,60,租住,德国,支票账户,1
63,1500,0,1,312,33,自有,德国,无信用卡,1
55,0,0,2,360,24,租住,德国,欧洲Master卡,1
33,2500,2,3,54,30,缺失,德国,无信用卡,1
31,0,3,5,42,9,租住,德国,支票账户,1
56,0,0,2,108,33,租住,德国,支票账户,1
30,0,2,4,42,9,缺失,德国,支票账户,1
35,0,3,4,48,66,租住,德国,支票账户,1
28,0,1,3,48,144,租住,德国,支票账户,0
22,2200,0,1,264,33,租住,德国,无信用卡,1
46,1800,0,2,312,15,自有,德国,无信用卡,0
20,1500,0,1,240,30,租住,德国,无信用卡,1
66,1500,0,1,72,96,租住,德国,无信用卡,1
58,3100,0,2,72,36,租住,德国,无信用卡,0
57,1000,0,2,24,21,租住,德国,欧洲Master卡,0
47,0,0,2,168,999,租住,德国,欧洲Master卡,0
42,0,2,3,144,24,租住,德国,支票账户,0
28,0,1,2,42,84,租住,德国,支票账户,1
52,2100,0,2,192,9,缺失,德国,无信用卡,0
34,0,2,4,120,216,租住,德国,支票账户,1
33,1500,0,2,120,9,租住,德国,无信用卡,1
21,0,0,1,240,45,租住,德国,支票账户,1
19,1000,0,1,240,18,租住,德国,无信用卡,1
44,2300,1,2,192,36,租住,德国,无信用卡,1
30,2000,2,4,336,21,自有,德国,无信用卡,1
27,2000,0,1,48,84,租住,德国,无信用卡,1
37,2300,0,1,192,24,租住,德国,我行Visa卡,0
36,2500,1,3,96,9,租住,德国,无信用卡,0
19,0,0,1,120,6,租住,德国,支票账户,0
32,2400,1,2,144,33,租住,德国,无信用卡,0
28,1700,3,5,0,168,租住,德国,无信用卡,1
27,1700,1,3,336,9,租住,德国,无信用卡,1
39,4000,2,4,168,168,租住,德国,无信用卡,0
21,0,0,1,192,39,租住,德国,支票账户,1
20,2200,0,1,144,15,租住,德国,无信用卡,1
68,0,0,1,216,27,租住,德国,支票账户,0
52,0,0,1,120,999,租住,德国,支票账户,0
46,2000,3,5,96,240,租住,其它非欧洲国家,无信用卡,0
25,1900,2,4,6,3,租住,德国,无信用卡,1
20,0,0,1,216,6,租住,德国,支票账户,0
38,2000,3,5,48,33,租住,德国,无信用卡,1
57,0,0,2,360,144,租住,德国,支票账户,0
54,1500,0,2,999,288,租住,德国,无信用卡,0
41,0,0,2,42,9,租住,德国,支票账户,0
38,0,1,2,84,9,缺失,德国,支票账户,1
20,1000,0,1,168,30,租住,德国,无信用卡,0
45,0,1,2,15,39,租住,德国,支票账户,0
33,1900,2,4,144,168,自有,德国,无信用卡,0
47,0,0,2,18,96,租住,德国,支票账户,0
40,0,2,4,108,60,租住,德国,支票账户,0
38,0,1,2,48,216,租住,德国,支票账户,0
36,0,2,3,18,42,租住,德国,支票账户,0
35,2200,3,5,144,120,租住,德国,无信用卡,0
49,1600,0,1,264,96,租住,德国,无信用卡,0
45,0,1,3,168,39,租住,德国,支票账户,0
56,0,0,2,144,288,租住,德国,支票账户,1
35,1600,4,6,66,24,租住,德国,无信用卡,1
29,3300,1,3,3,12,租住,德国,无信用卡,1
23,1700,0,1,168,3,租住,德国,无信用卡,0
33,2700,2,4,108,27,租住,德国,无信用卡,1
52,0,0,2,336,336,租住,德国,支票账户,0
30,2000,0,1,36,18,缺失,德国,无信用卡,1
27,0,0,1,36,84,租住,德国,支票账户,1
40,1500,2,4,240,144,自有,德国,无信用卡,0
30,2200,1,3,3,54,租住,德国,无信用卡,1
43,2500,1,3,999,33,缺失,德国,无信用卡,1
29,2200,0,1,6,27,租住,德国,无信用卡,1
27,0,1,3,60,12,租住,德国,支票账户,0
52,3300,1,3,240,36,自有,德国,无信用卡,0
42,0,1,3,120,30,租住,德国,支票账户,0
42,0,1,3,999,336,租住,德国,支票账户,0
33,2200,2,4,144,3,租住,德国,无信用卡,1
36,1800,2,4,72,6,缺失,德国,无信用卡,1
42,3000,1,3,168,168,租住,德国,无信用卡,0
33,0,3,5,54,54,租住,德国,支票账户,1
29,0,1,3,21,72,租住,德国,支票账户,0
51,1500,0,1,336,84,自有,德国,无信用卡,0
38,2800,2,3,108,12,租住,德国,无信用卡,1
60,1600,0,1,999,27,租住,德国,无信用卡,0
36,0,2,4,21,216,租住,德国,支票账户,0
34,0,2,4,84,27,租住,德国,欧洲Master卡,0
32,1900,1,3,72,84,租住,德国,无信用卡,0
28,2000,0,1,60,144,租住,德国,无信用卡,1
44,0,2,4,216,6,租住,德国,支票账户,1
25,0,2,3,36,24,租住,德国,支票账户,0
38,2200,0,1,999,18,租住,德国,无信用卡,1
46,0,1,3,336,120,租住,德国,支票账户,1
31,1600,0,1,336,21,租住,德国,无信用卡,1
35,0,0,2,15,45,租住,德国,支票账户,1
31,2300,5,7,66,6,缺失,德国,无信用卡,1
29,2700,2,4,60,48,缺失,德国,无信用卡,1
28,2200,2,4,84,84,租住,德国,无信用卡,0
62,0,0,1,120,27,租住,德国,欧洲Master卡,0
27,2600,1,2,30,108,租住,德国,无信用卡,1
21,1500,0,1,9,27,缺失,德国,支票账户,0
18,0,0,1,216,30,租住,德国,支票账户,1
50,0,0,1,168,288,租住,德国,支票账户,0
49,0,3,4,96,192,租住,德国,支票账户,0
42,1600,0,1,60,30,租住,德国,无信用卡,0
27,0,1,2,264,36,租住,德国,支票账户,0
49,0,1,3,999,192,租住,德国,支票账户,0
25,0,1,2,312,45,租住,德国,支票账户,0
21,2100,0,1,192,9,租住,德国,无信用卡,1
48,2000,0,2,312,30,租住,德国,支票账户,0
45,1800,1,2,84,9,租住,德国,无信用卡,1
42,0,2,3,999,39,缺失,德国,支票账户,0
41,1500,1,2,84,36,租住,德国,无信用卡,1
32,2800,1,2,84,48,租住,德国,无信用卡,0
51,0,0,2,192,60,租住,德国,支票账户,0
41,0,1,3,144,192,租住,德国,支票账户,0
33,2400,2,4,30,39,租住,德国,无信用卡,0
27,0,0,1,21,72,租住,德国,支票账户,0
24,2200,0,1,30,39,租住,德国,无信用卡,0
57,0,0,1,999,48,租住,德国,支票账户,0
38,0,1,2,144,144,租住,德国,支票账户,0
28,0,2,4,6,33,租住,德国,支票账户,1
28,0,2,4,12,3,租住,德国,支票账户,1
51,0,1,3,54,27,租住,德国,支票账户,1
31,0,1,3,36,12,租住,德国,欧洲Master卡,0
22,2000,0,1,36,15,租住,德国,支票账户,1
19,2000,0,1,168,9,租住,德国,无信用卡,1
19,1500,0,1,108,15,租住,德国,无信用卡,1
67,1900,0,2,999,120,自有,德国,无信用卡,0
34,1900,2,4,84,24,缺失,德国,无信用卡,1
31,0,3,5,48,168,租住,德国,支票账户,0
51,0,0,2,84,9,租住,德国,支票账户,0
45,2300,0,2,168,999,缺失,德国,无信用卡,1
38,0,1,3,192,48,租住,德国,支票账户,1
35,0,2,4,84,12,租住,德国,支票账户,0
32,0,3,5,24,33,租住,德国,支票账户,1
25,2400,0,1,6,96,租住,德国,无信用卡,1
42,0,2,4,144,108,租住,德国,支票账户,1
43,0,0,2,48,33,租住,德国,支票账户,0
40,0,4,6,54,9,租住,德国,欧洲Master卡,1
68,0,0,2,192,66,租住,德国,支票账户,0
33,1500,1,3,36,192,自有,德国,无信用卡,0
59,0,0,2,999,33,缺失,德国,支票账户,0
36,0,2,4,84,84,租住,德国,欧洲Master卡,1
35,2000,2,4,42,84,缺失,德国,无信用卡,0
34,0,3,5,72,48,租住,德国,支票账户,1
27,0,1,2,42,66,租住,德国,支票账户,0
25,2300,0,1,36,84,租住,德国,无信用卡,1
37,2000,2,4,36,36,自有,德国,无信用卡,0
20,1700,0,1,144,6,租住,德国,无信用卡,1
30,3000,2,4,3,36,租住,德国,无信用卡,1
29,2500,1,3,12,21,租住,德国,无信用卡,1
27,0,0,1,336,96,租住,德国,支票账户,0
22,1700,0,1,264,39,租住,德国,无信用卡,1
66,1500,0,2,999,18,缺失,德国,无信用卡,0
27,0,0,1,240,24,租住,德国,支票账户,0
40,0,0,1,48,240,租住,德国,支票账户,0
39,1700,1,3,168,3,租住,德国,无信用卡,1
31,0,1,2,18,168,租住,德国,支票账户,1
37,2600,3,5,999,30,自有,德国,无信用卡,0
58,0,0,2,60,45,租住,德国,支票账户,0
23,0,0,1,144,84,租住,德国,支票账户,0
27,0,2,4,15,6,缺失,德国,支票账户,0
40,1900,0,2,336,216,租住,德国,无信用卡,1
40,0,1,3,108,33,租住,德国,支票账户,0
40,2900,0,1,96,12,租住,德国,无信用卡,1
22,1600,0,1,36,45,租住,德国,无信用卡,1
37,1500,3,4,96,21,租住,德国,无信用卡,1
29,0,1,2,6,108,租住,德国,支票账户,0
23,1500,3,4,36,6,缺失,德国,无信用卡,1
38,0,2,3,144,6,租住,德国,支票账户,0
35,3000,2,4,72,240,租住,德国,无信用卡,1
48,2200,1,2,216,60,缺失,德国,支票账户,0
31,2000,2,4,120,9,租住,德国,无信用卡,0
44,2100,1,2,42,42,租住,德国,无信用卡,1
42,0,1,3,120,21,租住,德国,支票账户,0
39,2500,1,3,42,288,租住,德国,无信用卡,0
28,1500,1,3,6,36,租住,德国,无信用卡,1
23,0,0,1,120,27,租住,德国,支票账户,0
41,0,2,4,144,144,租住,德国,支票账户,0
41,0,1,3,108,168,租住,德国,支票账户,0
40,0,1,3,84,24,租住,德国,支票账户,0
53,0,2,4,999,168,租住,德国,支票账户,0
25,2000,0,1,312,18,租住,德国,无信用卡,0
23,2100,0,1,30,30,租住,德国,无信用卡,0
69,0,0,2,96,108,租住,德国,支票账户,0
46,0,0,2,264,9,租住,德国,支票账户,0
42,1900,2,4,120,12,租住,德国,支票账户,0
35,2200,0,2,120,9,租住,德国,无信用卡,1
52,2500,0,2,336,336,租住,德国,无信用卡,0
34,2100,2,3,120,15,自有,德国,无信用卡,1
28,0,0,2,66,39,租住,德国,支票账户,1
27,0,0,1,54,96,租住,德国,支票账户,0
21,1800,0,1,264,60,租住,德国,欧洲Master卡,1
34,0,2,4,42,6,租住,德国,支票账户,0
31,2300,2,4,72,84,租住,德国,无信用卡,0
26,2000,0,1,312,9,租住,德国,无信用卡,1
23,1500,1,3,42,39,租住,土耳其,无信用卡,1
22,4000,2,4,30,24,租住,土耳其,无信用卡,0
19,1000,0,1,240,36,租住,德国,无信用卡,1
19,1800,0,1,144,9,缺失,德国,无信用卡,1
21,1500,0,1,24,24,租住,德国,无信用卡,0
20,2500,0,1,15,15,租住,土耳其,无信用卡,0
22,2100,0,1,30,18,租住,德国,无信用卡,1
20,0,0,1,36,24,租住,土耳其,支票账户,1
19,2400,0,1,96,42,租住,德国,无信用卡,1
22,2500,0,2,240,84,租住,土耳其,无信用卡,1
21,1500,0,1,120,3,租住,德国,无信用卡,1
20,0,0,1,240,33,租住,德国,欧洲Master卡,1
22,0,0,1,48,84,缺失,德国,支票账户,1
19,1500,0,1,144,27,缺失,德国,无信用卡,0
20,1900,0,1,54,9,租住,土耳其,无信用卡,1
22,3500,0,2,144,60,缺失,土耳其,无信用卡,1
20,4000,0,1,144,3,缺失,土耳其,无信用卡,1
22,1500,0,1,0,27,租住,德国,无信用卡,0
20,1000,0,1,168,18,租住,德国,无信用卡,1
20,2300,0,1,240,45,租住,德国,无信用卡,1
19,1500,1,2,108,15,租住,德国,无信用卡,1
19,1900,0,1,48,48,缺失,德国,支票账户,1
22,2100,0,1,3,12,租住,德国,无信用卡,1
20,1000,0,1,54,42,缺失,德国,无信用卡,1
22,2000,1,3,9,33,租住,土耳其,无信用卡,1
21,1700,0,1,264,27,租住,德国,无信用卡,1
20,1900,0,1,15,15,租住,德国,无信用卡,1
18,0,0,1,240,24,缺失,德国,支票账户,0
21,1800,0,1,96,9,租住,德国,无信用卡,1
20,2300,0,1,264,6,缺失,希腊,无信用卡,0
21,2600,0,2,3,48,租住,土耳其,无信用卡,0
20,2000,0,1,264,3,租住,德国,无信用卡,1
22,2000,1,2,3,60,租住,德国,无信用卡,1
21,1500,0,1,6,24,租住,德国,无信用卡,0
22,4000,0,1,264,9,租住,南斯拉夫,无信用卡,1
21,0,1,2,6,33,租住,德国,支票账户,1
22,2200,0,1,6,54,租住,德国,无信用卡,1
21,0,1,3,84,18,租住,南斯拉夫,支票账户,0
20,1600,0,1,168,45,租住,德国,无信用卡,1
22,1500,0,1,12,15,租住,德国,无信用卡,1
20,1000,0,1,240,18,缺失,德国,无信用卡,1
20,1500,0,1,216,9,缺失,德国,无信用卡,1
20,1500,0,1,216,9,租住,德国,无信用卡,1
20,3100,0,1,168,48,缺失,德国,无信用卡,0
20,1000,0,1,192,21,租住,德国,支票账户,0
22,1700,0,1,15,6,租住,德国,无信用卡,1
19,1500,0,1,48,36,租住,土耳其,无信用卡,0
21,1500,0,1,120,60,租住,德国,无信用卡,0
20,2000,0,1,168,30,租住,德国,无信用卡,1
22,1900,0,1,15,12,缺失,德国,无信用卡,1
19,0,0,1,168,12,缺失,德国,支票账户,0
20,1700,0,1,108,3,租住,土耳其,无信用卡,1
22,2000,0,1,168,15,缺失,德国,支票账户,0
22,1900,0,1,192,3,租住,土耳其,无信用卡,1
21,1700,0,1,192,36,租住,德国,无信用卡,1
21,1500,0,1,120,9,缺失,德国,无信用卡,1
21,1500,0,1,192,27,缺失,德国,无信用卡,1
19,1000,0,1,240,18,租住,德国,无信用卡,0
22,4000,0,1,30,12,缺失,德国,无信用卡,1
20,1600,0,1,240,33,租住,德国,无信用卡,1
22,0,0,1,3,72,租住,德国,欧洲Master卡,0
19,0,0,1,84,21,租住,土耳其,支票账户,1
20,0,0,1,60,48,租住,意大利,支票账户,1
20,1500,0,1,240,6,缺失,土耳其,无信用卡,1
22,2800,0,1,264,72,租住,德国,无信用卡,1
21,0,0,1,42,30,租住,德国,支票账户,0
22,2100,0,1,240,27,租住,德国,无信用卡,1
21,1500,0,1,120,15,租住,土耳其,无信用卡,0
21,1500,1,3,168,15,租住,土耳其,无信用卡,1
19,1000,0,1,3,36,缺失,德国,无信用卡,0
21,5000,0,1,18,42,租住,土耳其,无信用卡,1
19,2800,0,1,12,9,租住,土耳其,无信用卡,1
22,0,0,1,21,60,租住,德国,支票账户,1
20,1500,0,1,0,3,租住,希腊,无信用卡,1
20,1000,0,1,168,33,租住,德国,无信用卡,0
19,0,0,1,240,27,租住,德国,支票账户,1
19,1900,0,1,72,42,缺失,德国,无信用卡,1
22,1700,0,1,192,18,租住,德国,无信用卡,1
21,1500,0,1,168,12,租住,德国,无信用卡,1
22,2100,0,1,264,54,租住,德国,无信用卡,1
19,0,0,1,3,36,租住,德国,支票账户,0
21,1500,0,1,144,12,缺失,德国,无信用卡,1
22,1700,0,1,288,12,租住,德国,无信用卡,0
19,0,0,1,66,27,缺失,德国,支票账户,1
22,2200,0,1,15,15,租住,德国,无信用卡,1
19,1600,0,1,21,24,租住,德国,无信用卡,1
22,3000,0,1,36,15,缺失,德国,无信用卡,0
20,0,0,1,36,45,租住,德国,支票账户,1
20,1700,0,1,168,6,租住,土耳其,无信用卡,1
21,1600,0,1,264,12,租住,德国,无信用卡,1
19,1800,1,2,66,39,租住,德国,无信用卡,1
22,2000,0,1,264,33,租住,德国,无信用卡,0
21,1800,0,1,192,30,租住,德国,无信用卡,0
22,2700,1,3,96,45,租住,土耳其,无信用卡,1
20,1700,0,1,168,6,租住,德国,无信用卡,1
21,2000,0,1,144,66,租住,德国,无信用卡,1
22,1500,0,1,21,21,租住,德国,无信用卡,1
21,1900,0,1,9,33,租住,土耳其,无信用卡,1
19,1000,0,1,72,36,缺失,德国,无信用卡,1
19,0,0,1,15,48,租住,德国,支票账户,0
22,1600,0,1,264,6,缺失,德国,无信用卡,1
20,1800,0,1,240,45,租住,德国,无信用卡,1
19,1000,0,1,144,6,租住,德国,无信用卡,1
19,1800,0,1,15,45,租住,德国,无信用卡,1
22,2400,0,1,72,21,缺失,希腊,无信用卡,1
20,1900,0,1,30,6,租住,德国,无信用卡,1
22,2500,0,1,264,15,租住,德国,无信用卡,1
21,2000,0,1,60,36,租住,德国,无信用卡,1
21,1500,0,1,9,9,租住,德国,无信用卡,1
20,2000,0,1,144,33,租住,土耳其,无信用卡,1
22,1700,0,1,36,30,租住,德国,无信用卡,1
22,1900,0,2,3,3,缺失,德国,无信用卡,0
19,0,0,1,168,36,租住,德国,支票账户,0
21,0,0,1,216,45,租住,德国,支票账户,0
18,0,0,1,240,21,租住,德国,支票账户,0
21,0,0,1,21,9,租住,德国,支票账户,0
20,1000,0,1,42,27,租住,德国,无信用卡,1
22,1500,0,1,264,6,租住,南斯拉夫,无信用卡,0
21,2200,0,1,108,15,租住,德国,支票账户,0
22,1600,0,1,264,6,缺失,德国,无信用卡,1
22,2200,0,1,15,15,租住,德国,无信用卡,1
19,1000,0,1,108,39,租住,土耳其,无信用卡,0
22,3200,0,1,36,6,租住,其它非欧洲国家,无信用卡,1
22,0,0,1,12,6,租住,德国,支票账户,1
20,2200,0,1,42,39,缺失,德国,无信用卡,1
22,1700,0,1,54,42,租住,德国,无信用卡,1
21,1500,0,1,120,12,缺失,德国,无信用卡,1
22,1700,0,1,288,66,缺失,德国,无信用卡,1
19,2500,0,1,240,54,租住,德国,无信用卡,1
22,1900,0,1,18,15,缺失,德国,无信用卡,0
19,1000,0,1,42,21,租住,德国,无信用卡,1
20,2300,0,1,72,39,租住,德国,无信用卡,1
22,2500,2,4,66,66,缺失,德国,无信用卡,1
22,2500,0,2,3,21,租住,德国,无信用卡,0
19,1000,0,1,108,9,租住,德国,无信用卡,1
20,1500,0,1,84,9,租住,德国,无信用卡,1
20,2100,0,1,168,12,租住,德国,无信用卡,1
20,0,0,1,72,33,租住,德国,支票账户,0
21,1600,0,1,108,12,租住,德国,无信用卡,1
22,2600,0,1,6,21,租住,土耳其,无信用卡,1
19,1700,0,1,240,42,缺失,德国,无信用卡,1
20,1600,0,1,168,60,租住,德国,无信用卡,1
19,1000,0,1,240,21,租住,德国,无信用卡,0
21,3500,0,1,120,66,租住,德国,无信用卡,1
22,0,0,1,264,18,租住,德国,欧洲Master卡,1
20,1000,0,1,30,18,租住,德国,无信用卡,0
20,1600,0,2,240,27,租住,土耳其,无信用卡,1
22,2100,0,1,192,48,租住,德国,无信用卡,1
22,1700,0,1,54,54,租住,希腊,无信用卡,1
22,2500,0,2,3,84,租住,德国,无信用卡,1
21,1900,0,2,264,6,租住,德国,无信用卡,1
21,2200,0,1,264,27,租住,德国,无信用卡,1
22,1800,0,1,264,15,租住,德国,无信用卡,1
20,1000,0,1,54,30,租住,德国,无信用卡,1
22,2000,0,1,120,15,租住,德国,无信用卡,1
22,1700,0,1,15,54,租住,德国,无信用卡,1
21,1700,0,1,264,36,租住,德国,无信用卡,1
21,2000,0,1,264,6,租住,德国,无信用卡,0
22,0,0,1,3,9,租住,德国,支票账户,1
20,1700,0,1,192,30,租住,德国,无信用卡,1
22,2500,0,1,36,36,租住,德国,无信用卡,0
22,2300,0,2,6,45,租住,土耳其,无信用卡,1
19,1900,0,1,240,9,租住,德国,无信用卡,1
22,2500,1,3,48,60,租住,土耳其,无信用卡,1
22,1500,0,1,9,27,租住,德国,无信用卡,1
22,2100,0,2,264,45,缺失,德国,无信用卡,0
19,1000,0,1,21,36,租住,德国,无信用卡,1
19,1500,0,1,84,36,缺失,德国,无信用卡,1
21,1900,0,1,264,45,租住,德国,无信用卡,1
22,2600,0,1,9,66,缺失,德国,无信用卡,1
20,2000,0,1,18,18,租住,土耳其,无信用卡,0
22,1600,0,1,264,39,缺失,德国,无信用卡,0
21,1500,0,1,168,21,租住,德国,无信用卡,1
21,1500,0,1,168,21,租住,德国,无信用卡,1
22,2000,0,1,54,15,缺失,德国,无信用卡,1
22,2800,0,1,21,72,租住,其它非欧洲国家,无信用卡,1
22,2700,0,2,72,48,缺失,土耳其,无信用卡,0
