年龄,收入,孩子数量,家庭人口数,在现住址时间,在现工作时间,住房种类,国籍,信用卡类型,是否违约
21,1500,0,1,15,36,租住,德国,无信用卡,0
21,2000,0,1,54,54,缺失,德国,无信用卡,1
20,1800,0,1,36,48,租住,土耳其,无信用卡,1
22,2300,1,2,264,3,租住,德国,无信用卡,1
20,2500,0,1,240,33,租住,德国,无信用卡,1
22,1900,0,1,84,24,租住,土耳其,无信用卡,1
23,2400,0,1,12,12,租住,德国,无信用卡,1
22,2000,0,1,54,15,租住,德国,支票账户,1
22,0,0,1,264,3,租住,德国,支票账户,0
22,1700,0,1,15,12,租住,德国,无信用卡,1
22,2200,0,1,12,60,缺失,德国,无信用卡,1
22,2000,0,1,3,48,租住,德国,无信用卡,1
22,1000,0,1,66,33,租住,德国,支票账户,1
20,1700,0,1,60,54,缺失,德国,无信用卡,1
20,1500,0,1,240,27,缺失,德国,无信用卡,1
22,2100,0,1,264,21,租住,德国,无信用卡,0
22,2100,0,1,120,33,租住,德国,无信用卡,1
22,2500,1,3,12,36,租住,德国,无信用卡,1
20,1700,0,1,216,3,租住,德国,无信用卡,0
19,2100,0,1,240,33,缺失,土耳其,无信用卡,0
22,1500,0,1,3,6,租住,德国,无信用卡,0
20,1700,0,1,66,30,租住,德国,无信用卡,1
21,1900,0,1,12,12,租住,德国,无信用卡,0
21,1000,0,1,264,6,租住,德国,欧洲Master卡,0
22,1000,0,1,84,36,缺失,德国,无信用卡,1
19,2200,0,1,15,36,租住,德国,无信用卡,1
22,2100,0,1,21,6,租住,德国,无信用卡,1
20,1800,0,1,216,24,租住,土耳其,无信用卡,1
56,3100,5,7,84,216,租住,其它非欧洲国家,无信用卡,1
54,3300,0,2,6,240,租住,土耳其,无信用卡,0
51,2400,0,2,168,240,租住,土耳其,无信用卡,1
47,3200,3,5,192,288,租住,土耳其,无信用卡,0
43,3000,3,5,144,36,租住,土耳其,无信用卡,0
37,1800,2,4,72,54,租住,其它非欧洲国家,无信用卡,0
33,2900,3,5,54,33,租住,土耳其,无信用卡,1
33,3100,3,5,264,18,缺失,土耳其,无信用卡,1
32,0,0,1,54,27,租住,希腊,支票账户,1
31,2900,1,3,66,54,租住,土耳其,无信用卡,1
30,3000,2,4,192,30,租住,土耳其,无信用卡,0
30,2400,1,3,108,9,缺失,土耳其,无信用卡,1
27,5000,0,2,66,96,租住,其它非欧洲国家,无信用卡,1
26,2500,0,2,18,15,租住,其它非欧洲国家,无信用卡,0
25,3000,1,3,120,36,租住,土耳其,无信用卡,1
25,3500,2,4,96,48,缺失,土耳其,无信用卡,0
24,2300,1,3,0,18,缺失,土耳其,无信用卡,1
24,2400,1,3,21,21,租住,其它非欧洲国家,无信用卡,1
23,0,0,1,36,36,租住,德国,支票账户,1
23,2000,0,2,15,15,缺失,土耳其,无信用卡,1
53,3000,1,3,120,36,租住,德国,无信用卡,0
50,0,0,2,120,30,租住,德国,支票账户,0
44,2200,0,2,120,66,租住,土耳其,无信用卡,1
32,3000,1,2,66,42,租住,土耳其,无信用卡,1
29,3500,1,3,120,168,缺失,土耳其,无信用卡,0
26,0,0,2,36,84,租住,德国,欧洲Master卡,0
24,1700,0,1,30,39,租住,德国,无信用卡,0
35,0,1,2,120,21,租住,其它欧洲国家,支票账户,1
30,3500,3,5,21,96,租住,土耳其,无信用卡,0
30,2600,0,2,54,21,租住,德国,无信用卡,1
25,1500,0,1,312,9,租住,土耳其,无信用卡,1
25,1800,1,3,15,9,租住,其它非欧洲国家,无信用卡,1
24,2700,1,3,48,9,租住,德国,无信用卡,0
23,0,0,2,12,15,租住,土耳其,支票账户,1
52,2100,0,1,144,144,租住,德国,无信用卡,1
48,3000,2,4,120,288,租住,土耳其,无信用卡,0
33,0,2,4,12,18,缺失,德国,支票账户,0
30,2500,1,2,24,96,租住,土耳其,无信用卡,1
29,3100,1,3,24,36,缺失,德国,支票账户,0
29,3000,1,3,96,42,租住,德国,无信用卡,0
25,2200,0,2,6,66,租住,土耳其,无信用卡,1
24,2000,0,1,3,6,租住,德国,无信用卡,1
55,1800,1,3,216,216,缺失,土耳其,无信用卡,1
39,2600,0,1,24,216,租住,德国,无信用卡,1
30,2800,4,6,9,168,租住,土耳其,无信用卡,0
36,4000,2,4,54,168,自有,德国,无信用卡,1
34,0,1,3,0,6,租住,土耳其,支票账户,0
34,0,0,1,3,48,租住,德国,支票账户,1
33,2600,0,2,42,84,租住,德国,无信用卡,0
32,2500,1,3,120,24,租住,德国,无信用卡,0
27,2500,0,2,3,39,租住,德国,无信用卡,1
23,2500,0,2,9,3,租住,土耳其,无信用卡,1
45,1900,0,1,42,27,租住,德国,无信用卡,1
45,3300,0,2,72,48,租住,土耳其,无信用卡,0
34,2500,3,5,66,168,租住,土耳其,无信用卡,1
29,3500,2,4,42,108,租住,土耳其,无信用卡,0
25,3000,1,3,6,60,租住,土耳其,无信用卡,1
25,1500,0,1,288,12,租住,德国,无信用卡,1
24,1800,0,1,168,9,缺失,土耳其,无信用卡,1
23,3500,1,3,3,48,租住,土耳其,无信用卡,0
49,2400,1,3,240,9,缺失,德国,无信用卡,0
43,1800,0,1,54,27,租住,德国,无信用卡,0
37,1800,0,2,9,9,租住,其它非欧洲国家,无信用卡,1
34,2500,1,3,21,9,租住,土耳其,无信用卡,0
32,4000,0,1,360,45,缺失,德国,支票账户,0
31,1800,1,2,15,168,租住,德国,无信用卡,0
31,0,1,3,30,39,缺失,德国,支票账户,0
30,1700,0,2,9,3,租住,土耳其,无信用卡,1
28,0,0,1,6,84,租住,德国,支票账户,0
26,2100,0,1,24,24,租住,其它非欧洲国家,无信用卡,1
44,2200,0,1,30,168,租住,德国,无信用卡,1
37,4000,5,7,120,120,自有,德国,无信用卡,0
45,3400,1,3,24,120,租住,意大利,无信用卡,0
44,0,1,2,144,27,租住,德国,支票账户,0
33,3500,2,4,108,216,租住,德国,无信用卡,0
32,3500,1,3,12,12,租住,德国,无信用卡,1
27,2400,0,1,18,18,租住,土耳其,无信用卡,1
24,2000,0,1,9,9,缺失,德国,无信用卡,0
39,1900,1,3,264,6,自有,土耳其,无信用卡,0
27,2400,1,3,9,9,租住,德国,无信用卡,0
27,1800,0,1,36,27,缺失,德国,无信用卡,1
26,2000,0,1,36,48,租住,德国,无信用卡,1
23,1800,1,3,288,33,租住,德国,无信用卡,0
31,10000,0,2,36,6,租住,德国,无信用卡,1
29,0,0,2,288,144,租住,土耳其,支票账户,0
26,2400,1,3,0,15,租住,土耳其,无信用卡,1
52,3500,0,2,108,120,租住,土耳其,无信用卡,0
50,2300,0,1,24,54,缺失,其它欧洲国家,无信用卡,1
49,2000,1,2,192,54,租住,土耳其,无信用卡,1
32,3200,3,5,36,33,租住,德国,无信用卡,0
31,2000,0,2,54,24,租住,德国,无信用卡,0
29,2200,0,1,96,120,租住,德国,无信用卡,0
62,1500,0,2,9,9,租住,土耳其,无信用卡,1
38,5000,2,4,216,240,缺失,德国,无信用卡,0
36,2600,0,1,0,72,租住,德国,支票账户,0
30,2500,1,3,54,42,租住,其它非欧洲国家,无信用卡,1
35,2800,1,2,312,54,缺失,德国,无信用卡,0
35,5000,4,6,120,168,自有,德国,无信用卡,0
34,4000,1,3,42,108,缺失,德国,无信用卡,0
31,0,2,4,54,120,租住,土耳其,欧洲Master卡,1
23,0,0,1,3,12,租住,德国,支票账户,1
40,3000,2,4,192,192,租住,德国,无信用卡,1
31,1500,0,2,168,3,自有,德国,无信用卡,1
35,2800,2,4,0,108,租住,德国,无信用卡,1
32,2400,0,1,12,12,租住,德国,无信用卡,1
23,1500,0,1,36,45,租住,德国,无信用卡,1
45,3500,0,2,9,24,租住,德国,欧洲Master卡,0
40,1600,0,1,48,24,租住,德国,无信用卡,1
34,4000,1,2,336,96,自有,德国,无信用卡,1
30,3000,2,4,120,168,租住,德国,无信用卡,0
29,2500,0,2,30,30,租住,德国,无信用卡,1
27,3000,0,1,108,24,租住,德国,无信用卡,1
27,0,0,1,72,45,租住,德国,欧洲Master卡,0
25,2400,0,1,15,24,租住,德国,无信用卡,1
25,1800,0,1,12,84,租住,德国,支票账户,0
45,3200,1,2,120,168,租住,德国,无信用卡,0
36,0,2,4,36,24,租住,德国,支票账户,0
33,0,0,1,84,192,租住,德国,支票账户,0
29,1800,0,1,168,144,租住,南斯拉夫,无信用卡,0
27,1600,0,2,6,30,租住,德国,无信用卡,1
25,3000,2,4,60,9,租住,德国,无信用卡,1
24,4000,1,3,15,96,缺失,德国,无信用卡,1
23,1700,0,1,168,45,租住,德国,无信用卡,1
39,2200,2,4,120,192,缺失,希腊,无信用卡,0
39,0,2,4,60,36,租住,德国,支票账户,1
27,1500,0,1,3,36,租住,德国,无信用卡,0
26,0,0,2,9,33,租住,德国,支票账户,0
49,3500,1,3,168,192,租住,德国,无信用卡,0
33,2000,0,1,3,9,租住,其它非欧洲国家,无信用卡,1
29,3100,0,1,3,54,租住,德国,无信用卡,1
26,0,0,2,15,84,租住,土耳其,支票账户,1
25,2700,2,4,9,9,租住,土耳其,无信用卡,0
49,1500,0,2,66,42,租住,德国,无信用卡,1
44,1000,4,5,108,12,租住,土耳其,无信用卡,1
32,3200,3,5,168,6,租住,土耳其,支票账户,1
30,2100,0,1,30,18,租住,德国,无信用卡,1
27,2000,0,1,18,15,租住,德国,无信用卡,1
24,2000,1,3,24,6,缺失,土耳其,无信用卡,1
64,3400,4,6,999,48,租住,德国,无信用卡,0
56,3300,1,3,168,144,租住,土耳其,无信用卡,1
47,2200,0,1,192,42,自有,德国,无信用卡,1
37,4000,1,3,96,216,缺失,德国,无信用卡,0
37,3400,3,5,60,48,租住,意大利,无信用卡,0
33,0,2,4,84,9,租住,德国,支票账户,0
28,2400,0,1,0,9,租住,德国,无信用卡,1
25,2000,0,1,48,33,缺失,德国,无信用卡,0
35,2500,1,2,96,21,租住,德国,无信用卡,1
34,2500,2,4,30,84,缺失,德国,无信用卡,0
25,2400,1,2,18,30,租住,德国,无信用卡,1
42,2500,4,6,72,60,租住,南斯拉夫,无信用卡,0
24,2200,2,3,12,24,租住,德国,无信用卡,0
39,3200,2,4,96,96,租住,德国,无信用卡,0
33,4000,2,4,0,42,租住,德国,无信用卡,1
32,2400,0,1,12,42,自有,德国,无信用卡,0
28,1800,0,1,24,0,缺失,德国,支票账户,1
42,0,1,3,192,96,缺失,德国,支票账户,0
32,2100,0,2,84,15,租住,德国,无信用卡,1
65,1900,0,2,999,6,租住,德国,无信用卡,0
56,1600,0,2,48,36,租住,德国,无信用卡,0
44,2900,2,4,192,288,租住,德国,无信用卡,0
44,1900,0,2,108,108,租住,德国,无信用卡,1
42,3400,1,3,108,120,租住,德国,无信用卡,1
31,2500,2,4,66,144,租住,德国,无信用卡,0
29,2000,0,1,66,39,租住,德国,无信用卡,0
27,2200,0,2,15,27,租住,德国,无信用卡,1
26,3000,0,1,24,27,租住,德国,无信用卡,1
24,1800,1,3,12,9,租住,其它欧洲国家,无信用卡,0
45,2200,1,2,24,6,租住,德国,无信用卡,0
38,2300,1,2,21,24,租住,德国,无信用卡,0
27,0,0,1,216,6,缺失,德国,支票账户,1
36,2700,1,3,9,18,租住,德国,无信用卡,0
24,2200,0,1,312,30,租住,德国,无信用卡,1
24,2200,0,1,12,21,租住,德国,无信用卡,1
50,0,0,1,36,60,租住,德国,支票账户,0
32,1500,2,4,120,66,租住,土耳其,无信用卡,0
38,10000,1,3,12,96,租住,德国,支票账户,0
57,2600,0,1,168,96,租住,德国,无信用卡,1
45,0,1,3,168,18,缺失,德国,支票账户,0
38,2100,3,5,144,144,租住,土耳其,无信用卡,0
34,0,3,5,48,60,租住,德国,支票账户,0
30,0,1,2,18,18,缺失,德国,欧洲Master卡,0
26,2000,0,1,312,108,租住,土耳其,无信用卡,1
26,2400,1,2,288,66,缺失,德国,无信用卡,0
37,0,2,4,30,240,租住,德国,欧洲Master卡,0
30,1000,1,3,18,168,租住,德国,无信用卡,0
27,2500,0,1,108,6,缺失,德国,它行Visa卡,1
24,1900,0,1,36,12,租住,德国,无信用卡,1
23,2500,0,2,30,6,租住,德国,无信用卡,1
55,2800,0,2,96,168,租住,德国,无信用卡,1
48,5000,0,1,168,288,缺失,土耳其,支票账户,0
32,3000,1,3,30,24,缺失,德国,无信用卡,1
27,2800,2,4,60,96,租住,德国,无信用卡,1
26,0,0,1,3,9,租住,德国,支票账户,0
55,0,0,2,144,240,租住,德国,支票账户,0
31,0,0,1,144,54,租住,德国,支票账户,1
29,2700,1,3,9,108,租住,德国,无信用卡,0
25,0,0,1,9,9,租住,德国,欧洲Master卡,1
65,2300,0,1,216,54,租住,德国,无信用卡,0
53,0,0,2,72,45,租住,德国,支票账户,0
40,0,1,3,9,6,租住,德国,欧洲Master卡,0
38,2400,3,4,24,18,租住,德国,无信用卡,0
32,2000,0,1,12,144,租住,德国,无信用卡,1
29,1800,0,2,84,9,租住,德国,无信用卡,0
25,3000,0,1,288,60,租住,德国,无信用卡,0
67,2200,0,1,144,108,租住,德国,无信用卡,0
48,0,1,3,216,999,缺失,德国,支票账户,1
24,2000,0,1,288,54,租住,德国,无信用卡,0
23,2500,1,3,21,21,租住,德国,无信用卡,0
38,0,1,3,3,108,租住,德国,支票账户,0
25,2200,0,1,30,15,缺失,德国,支票账户,1
24,2200,0,1,288,45,缺失,德国,无信用卡,1
47,1500,0,1,84,999,租住,德国,无信用卡,1
39,3100,1,3,3,6,租住,德国,无信用卡,0
33,2500,2,4,999,192,自有,德国,支票账户,0
26,2000,0,2,9,9,租住,德国,无信用卡,1
24,1800,0,1,24,27,租住,德国,无信用卡,1
66,1700,2,3,36,240,缺失,德国,无信用卡,1
43,2000,2,4,24,9,租住,德国,无信用卡,0
30,2600,3,5,6,54,租住,德国,无信用卡,0
71,1900,0,2,336,108,租住,德国,无信用卡,0
55,2200,0,2,15,45,租住,德国,无信用卡,0
39,3000,2,4,24,84,自有,德国,无信用卡,0
27,2400,1,3,12,54,租住,德国,无信用卡,1
50,2700,2,4,54,42,租住,土耳其,无信用卡,0
43,2100,1,2,54,3,租住,德国,无信用卡,1
29,1500,2,4,3,108,租住,德国,无信用卡,0
41,0,1,2,120,192,租住,德国,支票账户,0
37,3500,1,3,84,66,缺失,德国,支票账户,0
29,1900,0,2,30,24,租住,其它非欧洲国家,无信用卡,0
26,2000,1,3,312,96,租住,土耳其,无信用卡,1
23,2200,0,1,21,84,租住,德国,无信用卡,1
31,2500,2,4,120,120,租住,土耳其,无信用卡,0
25,1500,0,2,42,60,缺失,德国,无信用卡,0
40,0,2,4,54,108,租住,其它非欧洲国家,支票账户,0
35,2800,2,4,36,21,租住,德国,无信用卡,0
32,2600,2,4,72,3,租住,德国,无信用卡,1
31,0,0,1,96,21,租住,德国,支票账户,0
55,1700,0,1,144,216,缺失,德国,支票账户,0
35,3200,2,4,48,33,租住,德国,无信用卡,0
25,0,0,1,48,6,缺失,德国,支票账户,0
38,0,2,4,21,27,租住,德国,支票账户,1
26,5000,1,2,9,27,租住,德国,无信用卡,1
32,2700,1,3,30,192,租住,德国,无信用卡,1
32,0,1,3,54,39,租住,德国,支票账户,0
29,2500,1,2,36,12,租住,德国,无信用卡,1
27,3000,0,2,15,6,租住,德国,无信用卡,1
24,2000,0,1,288,84,缺失,德国,无信用卡,1
23,1900,0,1,66,39,缺失,德国,无信用卡,1
29,2300,0,1,288,9,租住,德国,支票账户,0
27,3500,0,1,168,30,租住,德国,支票账户,1
25,0,0,1,312,96,缺失,德国,支票账户,0
43,3000,2,4,216,216,租住,德国,无信用卡,0
33,2800,1,3,42,216,缺失,德国,无信用卡,0
29,0,0,1,42,27,租住,德国,欧洲Master卡,0
29,2300,1,3,30,15,租住,德国,无信用卡,1
45,2700,0,1,999,192,自有,德国,无信用卡,1
26,2500,0,1,18,108,缺失,德国,无信用卡,0
24,2000,0,1,168,24,租住,土耳其,无信用卡,1
31,2400,0,1,3,192,缺失,德国,无信用卡,0
30,1800,2,4,120,144,缺失,德国,无信用卡,1
29,1500,2,4,72,6,租住,德国,无信用卡,1
29,2500,0,1,48,72,租住,南斯拉夫,支票账户,1
28,2500,1,3,312,120,租住,德国,无信用卡,0
27,0,0,1,84,15,租住,德国,支票账户,1
23,3300,0,1,42,45,租住,德国,无信用卡,1
49,2500,1,2,6,144,租住,德国,无信用卡,0
25,0,0,2,48,21,租住,德国,支票账户,0
46,3200,0,2,216,288,租住,土耳其,无信用卡,0
37,2100,3,5,3,45,租住,希腊,无信用卡,1
33,1800,1,2,54,42,租住,德国,无信用卡,0
28,2600,1,3,30,39,租住,德国,无信用卡,0
24,2300,0,1,9,24,租住,德国,无信用卡,0
34,2700,1,2,36,24,租住,德国,无信用卡,0
33,5000,2,4,9,216,租住,德国,无信用卡,0
24,2000,0,1,288,60,租住,德国,无信用卡,1
41,2800,1,3,15,336,租住,德国,无信用卡,0
62,0,0,2,168,15,租住,德国,支票账户,0
43,2600,1,3,240,288,租住,德国,无信用卡,0
36,2300,0,1,48,42,租住,其它非欧洲国家,无信用卡,1
32,0,0,1,312,120,租住,德国,支票账户,0
26,0,1,3,36,18,租住,德国,支票账户,1
45,3300,1,3,288,288,缺失,德国,无信用卡,1
25,3000,1,3,21,18,缺失,德国,无信用卡,1
36,3000,3,5,24,24,租住,德国,无信用卡,0
31,3100,2,4,144,120,自有,德国,无信用卡,0
30,1800,0,1,9,21,租住,德国,支票账户,1
29,0,1,3,54,144,租住,土耳其,支票账户,0
40,2400,0,1,84,33,租住,其它欧洲国家,无信用卡,0
38,1500,1,3,6,27,租住,德国,无信用卡,1
24,2200,0,1,9,45,租住,德国,无信用卡,1
30,0,2,4,36,84,租住,德国,支票账户,1
27,1600,0,1,15,45,租住,德国,无信用卡,1
67,3500,0,2,240,24,自有,德国,支票账户,0
43,3500,1,3,96,240,自有,德国,无信用卡,0
42,10000,2,4,96,192,租住,德国,支票账户,1
39,0,2,3,66,42,租住,德国,支票账户,1
34,2500,0,1,3,54,租住,德国,无信用卡,0
62,1000,0,2,12,48,租住,土耳其,无信用卡,1
41,2300,2,4,42,39,租住,德国,无信用卡,1
48,2900,1,3,3,39,租住,德国,无信用卡,0
40,2200,2,3,84,39,缺失,德国,其它信用卡,0
32,2300,0,2,120,120,租住,德国,无信用卡,0
31,5000,1,3,24,96,缺失,德国,无信用卡,1
27,1800,0,1,6,6,租住,德国,无信用卡,1
35,2300,0,1,120,24,租住,土耳其,无信用卡,0
34,2500,1,3,144,84,缺失,德国,无信用卡,0
31,3000,2,4,6,30,租住,德国,无信用卡,0
25,1500,1,3,54,18,租住,德国,无信用卡,1
25,0,0,1,12,12,租住,德国,支票账户,1
24,1700,0,1,15,54,缺失,德国,无信用卡,1
57,2000,0,2,168,12,租住,德国,无信用卡,0
33,0,0,1,42,192,租住,德国,支票账户,0
32,1500,2,3,12,84,缺失,德国,无信用卡,1
32,0,0,1,60,36,租住,德国,支票账户,0
30,0,0,1,6,192,租住,德国,支票账户,0
45,5000,2,4,192,33,租住,其它欧洲国家,无信用卡,0
34,2000,2,3,42,9,租住,德国,无信用卡,1
53,0,2,3,999,336,租住,德国,支票账户,0
27,3000,1,3,9,39,租住,其它非欧洲国家,无信用卡,1
43,0,1,3,60,45,租住,德国,支票账户,0
47,1900,0,1,999,12,租住,德国,无信用卡,0
29,2800,0,2,30,27,租住,德国,无信用卡,0
26,2900,0,1,312,108,缺失,德国,无信用卡,1
47,1500,2,4,36,24,缺失,德国,无信用卡,0
37,2600,3,5,168,216,缺失,意大利,无信用卡,0
58,2900,2,4,192,168,租住,德国,无信用卡,0
54,3500,0,2,240,216,自有,德国,无信用卡,0
39,2300,2,3,96,60,租住,德国,无信用卡,0
36,3300,1,3,120,21,租住,其它非欧洲国家,无信用卡,0
34,2800,1,3,3,60,租住,德国,无信用卡,0
28,2200,0,2,12,108,租住,德国,无信用卡,0
25,2300,0,1,30,108,租住,德国,无信用卡,1
37,3200,2,4,3,12,租住,德国,无信用卡,0
43,1800,0,1,36,21,租住,德国,无信用卡,1
37,1700,0,1,84,6,租住,德国,无信用卡,1
37,2600,2,3,48,168,租住,德国,无信用卡,1
25,2600,1,3,192,18,租住,土耳其,无信用卡,1
37,2900,3,4,9,120,租住,德国,无信用卡,1
28,0,0,1,42,66,租住,德国,支票账户,1
28,2500,1,3,42,144,租住,德国,无信用卡,0
24,1600,2,3,6,66,缺失,德国,无信用卡,1
55,3000,2,4,30,54,租住,德国,无信用卡,1
38,3500,1,3,96,192,租住,德国,无信用卡,0
34,2000,0,1,66,42,租住,德国,无信用卡,0
43,0,0,2,168,48,租住,德国,支票账户,0
41,2300,2,4,48,45,租住,德国,无信用卡,1
39,3100,2,4,36,54,租住,德国,无信用卡,1
23,0,0,1,216,33,租住,德国,支票账户,0
36,2200,2,4,144,45,租住,德国,无信用卡,1
32,4000,1,3,30,15,租住,德国,无信用卡,1
45,10000,0,1,30,39,租住,德国,无信用卡,1
41,3400,2,4,999,240,自有,德国,无信用卡,0
26,1900,0,2,24,6,租住,土耳其,无信用卡,1
25,0,0,1,42,21,租住,德国,支票账户,0
31,2000,0,2,36,144,租住,德国,无信用卡,1
28,2400,2,4,30,3,缺失,德国,无信用卡,1
24,2800,0,1,3,54,租住,德国,无信用卡,1
23,2000,0,1,6,9,租住,土耳其,无信用卡,1
55,3000,0,2,288,999,租住,德国,无信用卡,1
35,3200,0,1,999,84,租住,德国,无信用卡,1
53,4000,0,1,144,288,缺失,德国,无信用卡,0
35,2900,2,4,6,66,租住,德国,无信用卡,1
31,2400,0,1,264,9,租住,德国,无信用卡,1
31,2800,1,3,240,96,租住,德国,无信用卡,0
24,2500,0,1,3,21,租住,德国,无信用卡,0
24,2300,0,1,108,39,租住,土耳其,无信用卡,1
57,4000,2,4,192,999,租住,德国,无信用卡,1
43,2600,1,3,30,27,缺失,德国,无信用卡,0
35,0,2,4,216,240,租住,德国,支票账户,0
27,2900,0,2,36,42,租住,德国,欧洲Master卡,0
26,0,1,3,24,72,租住,德国,支票账户,0
47,0,0,1,30,39,租住,德国,支票账户,1
26,0,0,1,21,24,租住,德国,支票账户,0
45,0,2,4,21,240,租住,德国,支票账户,0
33,2100,0,1,0,33,缺失,德国,无信用卡,0
26,0,0,1,24,60,租住,德国,支票账户,0
51,5000,2,4,168,999,租住,德国,无信用卡,0
26,2200,0,1,48,45,租住,其它非欧洲国家,无信用卡,1
26,2500,1,3,168,6,租住,德国,无信用卡,1
36,0,2,4,84,9,缺失,德国,支票账户,0
29,2400,1,2,6,27,租住,德国,无信用卡,1
27,3100,0,1,6,36,租住,德国,无信用卡,0
36,0,0,1,84,42,租住,德国,支票账户,0
38,2300,2,4,6,15,租住,德国,无信用卡,1
24,2200,0,1,18,6,租住,德国,无信用卡,0
23,2200,0,1,168,12,缺失,德国,无信用卡,1
33,2700,0,1,120,144,缺失,德国,无信用卡,1
27,1800,0,1,192,15,缺失,德国,其它信用卡,1
43,2700,1,2,12,42,租住,德国,无信用卡,0
35,0,0,1,60,108,租住,德国,支票账户,1
29,3000,3,5,84,36,自有,德国,无信用卡,0
23,2000,0,1,30,30,缺失,德国,无信用卡,1
31,2500,1,3,84,144,缺失,德国,支票账户,0
30,2300,0,2,30,9,缺失,德国,支票账户,0
30,2500,0,2,30,54,租住,德国,无信用卡,1
65,2600,0,2,168,48,租住,德国,无信用卡,0
